index,current_price,market_cap,total_volume,date
sar,102093.26769987788,1989248591184.7527,47319538465.51899,20-09-2023
sek,303721.4886056844,5918015725561.543,140772853946.94604,20-09-2023
sgd,37140.81224332906,723675697594.3485,17214515052.601562,20-09-2023
thb,980425.4637758884,19102687871280.84,454420565537.1823,20-09-2023
try,735574.2787401163,14333339888362.182,340933698776.4078,20-09-2023
twd,870671.8693565824,16964550379276.55,403550517493.2648,20-09-2023
uah,1005372.7931596956,19589307478016.92,465983483827.3416,20-09-2023
usd,27219.296874634216,530357673731.022,12615959842.229397,20-09-2023
vef,2725.4681960571334,53104713870.687294,1263236059.0024335,20-09-2023
vnd,663804584.6157972,1.2933980511337232e+16,307668931389808.44,20-09-2023
xag,1172.8917510115853,22853350822.0229,543627386.7835951,20-09-2023
xau,14.092518763873136,274582078.4207624,6531787.048715855,20-09-2023
xdr,20641.15496034765,402185074005.0983,9567035595.23815,20-09-2023
xlm,229671.18214351844,4478294235343.037,106451038180.20354,20-09-2023
xrp,52969.2713131541,1032414175762.558,24550898681.797268,20-09-2023
yfi,4.99117373468702,97316274.03566122,2313375.2386191185,20-09-2023
zar,514870.7201459728,10035533973873.15,238639093405.6269,20-09-2023
bits,1000007.7566703192,19490054560102.73,463496825732.76215,20-09-2023
link,3964.58875081517,77201926182.87846,1837560047.991164,20-09-2023
sats,100000775.66703191,1949005456010272.8,46349682573276.21,20-09-2023
aed,99594.1991527758,1943590972474.024,49573991488.98153,21-09-2023
ars,9490139.51874308,185200142773973.25,4723810219204.965,21-09-2023
aud,42105.35078362397,821600793165.2261,20958352184.608944,21-09-2023
bch,125.8612469992684,2456266319.528423,62648672.72001588,21-09-2023
bdt,2977401.883965358,58104301980733.71,1482031051111.2976,21-09-2023
bhd,10221.88775096106,199481183878.33856,5088045093.772359,21-09-2023
bmd,27115.846446970816,529168513966.1614,13497179076.831764,21-09-2023
bnb,126.62843684159026,2470057806.9573026,63030549.00435002,21-09-2023
brl,132341.60016908607,2582501098709.052,65874332202.38526,21-09-2023
btc,1.0,19491481.0,497584.3188131787,21-09-2023
cad,36546.57514614853,713213323123.593,18191416976.679367,21-09-2023
chf,24390.459836432197,475926753101.969,12140591104.998465,21-09-2023
clp,23996324.283595555,468290720211645.8,11944406259816.305,21-09-2023
cny,197593.1730590758,3856050961271.41,98353943932.8728,21-09-2023
czk,621167.0988225625,12121450952848.75,309192028574.15424,21-09-2023
dkk,189752.13797369896,3702663529970.613,94450991653.58392,21-09-2023
dot,6551.97429310292,127725698411.6568,3261309600.412176,21-09-2023
eos,46905.64501085219,914826451493.868,23347745815.860268,21-09-2023
eth,16.721889427882033,325861869.52043253,8323484.813667583,21-09-2023
eur,25459.149576600183,496797159292.79486,12672541926.774546,21-09-2023
gbp,21995.34423561778,429190589948.4788,10948398774.321028,21-09-2023
hkd,212141.9906592729,4140029244291.367,105595760886.29337,21-09-2023
huf,9784862.57571398,190950458264689.28,4870511517495.135,21-09-2023
idr,416716328.1970474,8132261722631963.0,207424648052750.5,21-09-2023
ils,103226.90910127596,2014483678290.0784,51382208569.90443,21-09-2023
inr,2252241.012788149,43952713486614.77,1121075100245.7654,21-09-2023
jpy,4021874.317144122,78458669032218.61,2001927470313.909,21-09-2023
krw,36154642.701604046,705561546411641.6,17996328750302.855,21-09-2023
kwd,8374.349553296679,163426287179.25336,4168414797.372415,21-09-2023
lkr,8817388.697895508,172072241353492.16,4388941886002.7153,21-09-2023
ltc,420.2841590771905,8194925567.055906,209200570.93973532,21-09-2023
mmk,56970330.44920608,1111781819642784.2,28357541913470.9,21-09-2023
mxn,463470.8264332368,9043683579357.809,230697159075.97763,21-09-2023
myr,127064.85645050544,2479683656445.4307,63247781154.03375,21-09-2023
ngn,20999601.51844551,409809369260488.94,10452758050200.225,21-09-2023
nok,292647.3389253893,5710000787479.572,145668089231.84155,21-09-2023
nzd,45765.149462725225,892950171408.825,22780052947.42987,21-09-2023
php,1539054.7163286973,30034810041611.43,766079611637.9961,21-09-2023
pkr,7909839.9730177475,154361335258982.25,3937200588360.36,21-09-2023
pln,117455.00046969904,2291908209264.536,58464380889.204605,21-09-2023
